ref,letter,morse,x_mm,y_mm,dig,seg
D1,E,.,150.00,108.00,0,0
D2,T,-,142.00,108.00,0,1
D3,I,..,158.00,108.00,1,0
D4,A,.-,150.00,129.00,1,1
D5,N,-.,142.00,129.00,1,2
D6,M,--,134.00,108.00,1,3
D7,S,...,166.00,108.00,2,0
D8,U,..-,158.00,115.00,2,1
D9,R,.-.,158.00,129.00,2,2
D10,W,.--,150.00,143.00,2,3
D11,D,-..,142.00,143.00,2,4
D12,K,-.-,134.00,129.00,2,5
D13,G,--.,134.00,115.00,2,6
D14,O,---,126.00,108.00,2,7
D15,H,....,174.00,108.00,3,0
D16,V,...-,166.00,115.00,3,1
D17,F,..-.,158.00,122.00,3,2
D18,L,.-..,166.00,129.00,3,4
D19,P,.--.,158.00,143.00,3,6
D20,J,.---,150.00,150.00,3,7
D21,B,-...,142.00,150.00,4,0
D22,X,-..-,134.00,143.00,4,1
D23,C,-.-.,134.00,136.00,4,2
D24,Y,-.--,126.00,129.00,4,3
D25,Z,--..,134.00,122.00,4,4
D26,Q,--.-,126.00,115.00,4,5
