ref,x_mm,y_mm,rot,layer,note
J1,150.0,100.0,0,front,"CC1101 socket AT TOP EDGE - module plugs in and overhangs the board, antenna beyond"
U1,150.0,129.0,0,back,"MAX7219 on back, centred under panel"
R1,132.0,156.0,0,back,"RSET, back"
C1,135.0,156.0,0,back,"100nF MAX7219, back"
C2,138.0,156.0,0,back,"10uF bulk, back"
BZ1,129.0,161.0,0,front,buzzer
BT1,176.0,157.0,0,front,battery pads
R2,168.0,157.0,0,front,battery divider
R3,171.0,157.0,0,front,battery divider
C3,150.0,157.0,0,front,100nF ESP32
U2,137.0,180.0,0,front,ESP32-C3
J2,168.0,175.0,0,front,HW-357 power module
SW1,155.0,188.0,0,front,Morse key
